,Food_Item,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Water_Intake (ml)
0,Eggs,173,42.4,83.7,1.5,1.5,12.7,752,125,478
1,Apple,66,39.2,13.8,3.2,2.6,12.2,680,97,466
2,Chicken Breast,226,27.1,79.1,25.8,3.2,44.7,295,157,635
3,Banana,116,43.4,47.1,16.1,6.5,44.1,307,13,379
4,Banana,500,33.9,75.8,47.0,7.8,19.4,358,148,471
5,Oats,387,31.2,6.8,39.5,5.1,0.7,300,244,727
6,Carrot,138,28.2,12.4,20.2,2.8,37.8,933,15,733
7,Cookies,69,36.8,17.8,15.0,9.6,36.4,185,228,386
8,Apple,568,6.7,7.0,23.4,6.4,46.9,336,129,931
9,Quinoa,204,19.3,62.7,31.8,6.8,40.3,887,135,662
10,Oats,108,40.6,13.9,12.2,9.3,44.7,530,194,624
11,Tomato,117,34.4,21.0,10.1,9.1,18.5,66,180,799
12,Orange Juice,147,20.1,32.7,8.9,7.0,42.4,500,250,661
13,Cookies,468,23.7,89.2,3.1,6.3,31.3,342,225,607
14,Beef Steak,157,27.5,32.4,9.4,0.5,24.6,180,68,724
15,Pork Chop,385,15.8,36.5,33.1,2.1,27.6,134,88,421
16,Oats,297,36.3,76.4,24.9,2.9,37.6,269,66,338
17,Grapes,274,42.4,54.5,45.2,8.2,20.3,507,76,463
18,Milkshake,353,24.0,96.2,6.8,0.9,17.5,305,17,618
19,Eggs,569,4.3,23.2,31.9,9.5,28.2,373,17,416
20,Pasta,217,28.1,8.3,38.9,3.7,43.2,653,176,224
21,Oats,492,32.8,45.9,27.5,7.5,5.1,435,70,255
22,Orange,222,21.1,85.0,45.1,1.7,46.8,422,260,876
23,Pasta,335,38.0,64.7,39.1,9.5,2.1,322,139,786
24,Nuts,552,25.9,27.4,39.2,1.5,47.3,338,292,751
25,Cheese,252,18.0,24.9,31.0,8.2,43.6,744,110,244
26,Strawberry,141,19.0,93.3,11.8,5.7,20.0,970,263,967
27,Oats,336,43.1,56.8,21.9,9.4,18.1,452,262,791
28,Butter,315,37.8,25.5,15.6,1.2,1.0,555,119,863
29,Orange Juice,553,44.1,25.7,21.9,4.5,36.7,888,171,455
30,Quinoa,496,18.1,24.9,16.5,0.2,13.0,346,57,452
31,Rice,142,14.6,21.9,41.4,2.7,46.5,947,48,868
32,Oats,71,4.0,62.8,42.7,1.7,31.2,87,109,248
33,Strawberry,595,32.5,23.8,35.1,9.3,32.0,389,278,942
34,Orange,165,7.7,35.0,44.2,5.3,8.7,21,154,685
35,Yogurt,568,27.5,63.4,25.4,1.6,9.5,360,20,927
36,Butter,437,41.2,71.7,6.0,7.8,14.8,893,8,665
37,Quinoa,195,45.0,40.9,31.6,8.8,0.8,372,184,823
38,Beef Steak,71,33.4,70.0,27.3,6.6,44.3,864,31,846
39,Apple,271,13.7,89.5,33.8,8.0,3.9,509,289,728
40,Cheese,353,34.1,87.5,47.0,3.3,17.0,172,194,786
41,Broccoli,219,32.6,49.5,30.3,9.4,23.5,771,138,663
42,Water,171,47.4,80.3,10.1,9.0,44.3,525,264,985
43,Beef Steak,539,43.1,35.6,15.6,0.2,33.1,496,82,506
44,Beef Steak,86,48.7,52.9,9.3,5.9,5.2,888,216,876
45,Paneer,173,22.1,59.4,30.1,5.2,12.4,424,10,986
46,Cheese,359,31.6,30.8,13.3,3.1,18.3,880,236,643
47,Salmon,508,5.3,70.4,40.3,6.1,47.2,423,230,470
48,Grapes,294,21.6,97.9,23.5,8.1,45.5,934,4,624
49,Yogurt,315,4.7,23.6,7.5,9.2,4.8,971,277,989
50,Nuts,191,28.8,39.6,40.3,6.5,23.9,842,282,903
51,Apple,485,49.2,81.2,5.8,3.7,44.1,343,123,573
52,Milk,282,30.3,69.7,21.5,5.4,39.9,731,263,491
53,Salmon,281,19.6,61.0,29.7,2.7,4.1,871,289,272
54,Quinoa,233,39.6,53.4,44.6,8.7,38.4,433,247,929
55,Beef Steak,184,19.0,39.9,1.1,0.8,39.1,762,102,642
56,Pork Chop,449,44.3,76.2,39.8,5.5,5.1,828,231,168
57,Chicken Breast,547,20.3,33.9,44.9,7.6,28.5,587,151,232
